No,Title,Category,Type,Pages,Filename,Suggested Learn article,Primary purpose
11,Chemical Dilution Log,Chemical management & safety,log,1,02-chemical-management-safety/11-alles-clinx-chemical-dilution-log.pdf,How to Use a Chemical Dilution Log: Free Template,"Record preparation of diluted cleaning solutions for traceability, consistency and safe use."
12,Dilution Reference Chart,Chemical management & safety,dilution,1,02-chemical-management-safety/12-alles-clinx-dilution-reference-chart.pdf,How to Use a Dilution Reference Chart: Free Template,"A calculation aid for concentrate-to-water ratios, plus blank rows for facility-approved product instructions."
13,Chemical Storage Inspection Checklist,Chemical management & safety,checklist,1,02-chemical-management-safety/13-alles-clinx-chemical-storage-inspection-checklist.pdf,How to Use a Chemical Storage Inspection Checklist: Free Template,"A routine inspection of housekeeping chemical storage, segregation, identification and emergency readiness."
14,Chemical Stock Register,Chemical management & safety,log,1,02-chemical-management-safety/14-alles-clinx-chemical-stock-register.pdf,How to Use a Chemical Stock Register: Free Template,"A simple inventory register to track movement, balance, reorder level and lot / shelf-life information."
15,SDS Register & Availability Checklist,Chemical management & safety,log,1,02-chemical-management-safety/15-alles-clinx-sds-register-and-availability-checklist.pdf,How to Use a SDS Register & Availability Checklist: Free Template,"Track whether current Safety Data Sheets are available, accessible and periodically reviewed for every active chemical."
16,Workplace Chemical Label Checklist,Chemical management & safety,checklist,1,02-chemical-management-safety/16-alles-clinx-workplace-chemical-label-checklist.pdf,How to Use a Workplace Chemical Label Checklist: Free Template,"A practical check for clear identification of original, decanted and diluted chemical containers."
17,PPE Selection & Compliance Checklist,Chemical management & safety,ppe,1,02-chemical-management-safety/17-alles-clinx-ppe-selection-and-compliance-checklist.pdf,How to Use a PPE Selection & Compliance Checklist: Free Template,"Connect each housekeeping task to the PPE specified by the product SDS, site risk assessment and operating procedure."
18,Chemical Spill Response Checklist,Chemical management & safety,checklist,1,02-chemical-management-safety/18-alles-clinx-chemical-spill-response-checklist.pdf,How to Use a Chemical Spill Response Checklist: Free Template,"A controlled first-response checklist for housekeeping chemical spills before specialist escalation, when required."
19,Chemical Exposure / Incident Report,Chemical management & safety,incident,1,02-chemical-management-safety/19-alles-clinx-chemical-exposure-incident-report.pdf,How to Use a Chemical Exposure / Incident Report: Free Template,"Capture the essential facts of a chemical exposure or housekeeping incident for escalation, investigation and follow-up."
20,Product & Surface Compatibility Checklist,Chemical management & safety,compatibility,1,02-chemical-management-safety/20-alles-clinx-product-and-surface-compatibility-checklist.pdf,How to Use a Product & Surface Compatibility Checklist: Free Template,"A controlled record for approving, restricting or rejecting a cleaning product on a specific material or surface."
21,Cleaning Equipment Inspection Checklist,Equipment & housekeeping control,checklist,1,03-equipment-housekeeping-control/21-alles-clinx-cleaning-equipment-inspection-checklist.pdf,How to Use a Cleaning Equipment Inspection Checklist: Free Template,"A pre-use check for manual tools, machines and dispensing equipment used by housekeeping teams."
22,Cleaning Equipment Maintenance Log,Equipment & housekeeping control,log,1,03-equipment-housekeeping-control/22-alles-clinx-cleaning-equipment-maintenance-log.pdf,How to Use a Cleaning Equipment Maintenance Log: Free Template,"Track faults, preventive maintenance, repairs and return-to-service decisions for housekeeping equipment."
23,Mop & Cleaning Cloth Reprocessing Log,Equipment & housekeeping control,log,1,03-equipment-housekeeping-control/23-alles-clinx-mop-and-cleaning-cloth-reprocessing-log.pdf,How to Use a Mop & Cleaning Cloth Reprocessing Log: Free Template,"Document collection, washing / reprocessing, drying, inspection and release of reusable cleaning textiles."
24,Cleaning Cart Preparation Checklist,Equipment & housekeeping control,checklist,1,03-equipment-housekeeping-control/24-alles-clinx-cleaning-cart-preparation-checklist.pdf,How to Use a Cleaning Cart Preparation Checklist: Free Template,"Prepare a consistent, safe housekeeping cart before entering operational areas."
25,Housekeeping Supply Closet Checklist,Equipment & housekeeping control,checklist,1,03-equipment-housekeeping-control/25-alles-clinx-housekeeping-supply-closet-checklist.pdf,How to Use a Housekeeping Supply Closet Checklist: Free Template,A quick control for the small utility rooms and supply closets that often determine housekeeping consistency.
26,New Housekeeping Staff Induction Checklist,Training & competency,checklist,1,04-training-competency/26-alles-clinx-new-housekeeping-staff-induction-checklist.pdf,How to Use a New Housekeeping Staff Induction Checklist: Free Template,A structured induction record before a new team member performs housekeeping tasks independently.
27,Staff Training Attendance Record,Training & competency,traininglog,1,04-training-competency/27-alles-clinx-staff-training-attendance-record.pdf,How to Use a Staff Training Attendance Record: Free Template,"Document who attended a hygiene training session, what was covered and whether follow-up competency is required."
28,Cleaning Competency Assessment,Training & competency,assessment,1,04-training-competency/28-alles-clinx-cleaning-competency-assessment.pdf,How to Use a Cleaning Competency Assessment: Free Template,A practical observation form to determine whether a team member can perform a cleaning task correctly and consistently.
29,Chemical Handling Competency Assessment,Training & competency,assessment,1,04-training-competency/29-alles-clinx-chemical-handling-competency-assessment.pdf,How to Use a Chemical Handling Competency Assessment: Free Template,"Verify that staff can identify, dilute, label, use and store housekeeping chemicals without unsafe improvisation."
30,Supervisor Practical Observation Checklist,Training & competency,checklist,1,04-training-competency/30-alles-clinx-supervisor-practical-observation-checklist.pdf,How to Use a Supervisor Practical Observation Checklist: Free Template,A short on-the-floor observation tool for coaching technique and identifying drift from the approved method.
31,Refresher Training Tracker,Training & competency,log,1,04-training-competency/31-alles-clinx-refresher-training-tracker.pdf,How to Use a Refresher Training Tracker: Free Template,Keep recurring training and competency reassessment visible before due dates are missed.
32,Supervisor Hygiene Inspection,Audit & continuous improvement,scored,1,05-audit-continuous-improvement/32-alles-clinx-supervisor-hygiene-inspection.pdf,How to Use a Supervisor Hygiene Inspection: Free Template,"A fast scored inspection for routine supervisory rounds, with immediate action ownership."
33,Internal Facility Hygiene Audit,Audit & continuous improvement,audit2,2,05-audit-continuous-improvement/33-alles-clinx-internal-facility-hygiene-audit.pdf,How to Use a Internal Facility Hygiene Audit: Free Template,"A structured internal audit across governance, operations, chemicals, training and corrective-action control."
34,Pre-Audit Hygiene Readiness Checklist,Audit & continuous improvement,checklist,1,05-audit-continuous-improvement/34-alles-clinx-pre-audit-hygiene-readiness-checklist.pdf,How to Use a Pre-Audit Hygiene Readiness Checklist: Free Template,"A final readiness check before an internal, customer, certification or regulatory hygiene review."
35,Hygiene Non-Conformance Report,Audit & continuous improvement,ncr,1,05-audit-continuous-improvement/35-alles-clinx-hygiene-non-conformance-report.pdf,How to Use a Hygiene Non-Conformance Report: Free Template,"Record a requirement gap, immediate correction, risk, ownership and evidence of closure."
36,Corrective & Preventive Action - CAPA,Audit & continuous improvement,capa,1,05-audit-continuous-improvement/36-alles-clinx-corrective-and-preventive-action-capa.pdf,How to Use a Corrective & Preventive Action - CAPA: Free Template,"A disciplined action record for recurring, significant or systemic hygiene failures."
37,Hygiene Improvement Action Plan,Audit & continuous improvement,actionplan,1,05-audit-continuous-improvement/37-alles-clinx-hygiene-improvement-action-plan.pdf,How to Use a Hygiene Improvement Action Plan: Free Template,"Convert audit findings, complaints or performance gaps into owned, dated improvement actions."
38,Monthly Hygiene KPI Review,Audit & continuous improvement,kpi,1,05-audit-continuous-improvement/38-alles-clinx-monthly-hygiene-kpi-review.pdf,How to Use a Monthly Hygiene KPI Review: Free Template,"A one-page management review of cleaning completion, audit performance, incidents, training, stock and complaints."
39,Chemical Reorder Planning Sheet,Consumption & procurement,reorder,1,06-consumption-procurement/39-alles-clinx-chemical-reorder-planning-sheet.pdf,How to Use a Chemical Reorder Planning Sheet: Free Template,"Turn average consumption, lead time and safety stock into a visible reorder decision."
40,Monthly Chemical Consumption Tracker,Consumption & procurement,consumption,1,06-consumption-procurement/40-alles-clinx-monthly-chemical-consumption-tracker.pdf,How to Use a Monthly Chemical Consumption Tracker: Free Template,Track actual chemical use and convert inventory movement into a consistent monthly consumption view.
41,Chemical Cost-per-Use Worksheet,Consumption & procurement,costuse,1,06-consumption-procurement/41-alles-clinx-chemical-cost-per-use-worksheet.pdf,How to Use a Chemical Cost-per-Use Worksheet: Free Template,Compare concentrate economics using usable solution and dose per task - not only the purchase price of the pack.
42,Cleaning Chemical Supplier Comparison Sheet,Consumption & procurement,supplier,1,06-consumption-procurement/42-alles-clinx-cleaning-chemical-supplier-comparison-sheet.pdf,How to Use a Cleaning Chemical Supplier Comparison Sheet: Free Template,"Compare suppliers on usable economics, documentation and service rather than container price alone."
43,Hospital Housekeeping Checklist,Sector-specific resources,checklist,1,07-sector-specific-resources/43-alles-clinx-hospital-housekeeping-checklist.pdf,How to Use a Hospital Housekeeping Checklist: Free Template,A general hospital housekeeping checklist to be adapted to the facility infection-prevention programme and area risk.
44,Hospital Terminal Cleaning Checklist,Sector-specific resources,checklist,1,07-sector-specific-resources/44-alles-clinx-hospital-terminal-cleaning-checklist.pdf,How to Use a Hospital Terminal Cleaning Checklist: Free Template,A discharge / transfer terminal-cleaning sequence to support local IPC procedures without prescribing a specific disinfectant.
45,High-Risk / Isolation Area Cleaning Checklist,Sector-specific resources,checklist,1,07-sector-specific-resources/45-alles-clinx-high-risk-isolation-area-cleaning-checklist.pdf,How to Use a High-Risk / Isolation Area Cleaning Checklist: Free Template,A generic control sheet for areas subject to enhanced precautions; use only with the facility’s IPC instructions.
46,Laundry Hygiene Checklist,Sector-specific resources,checklist,1,07-sector-specific-resources/46-alles-clinx-laundry-hygiene-checklist.pdf,How to Use a Laundry Hygiene Checklist: Free Template,"A hygiene-control checklist for institutional laundry flow, with emphasis on separation, handling and clean storage."
47,Kitchen & Dietary Services Sanitation Checklist,Sector-specific resources,checklist,1,07-sector-specific-resources/47-alles-clinx-kitchen-and-dietary-services-sanitation-checklist.pdf,How to Use a Kitchen & Dietary Services Sanitation Checklist: Free Template,A practical sanitation check for institutional kitchens and dietary-service areas; align with the site food-safety system.
48,Hotel Guest Room Turnover Checklist,Sector-specific resources,checklist,1,07-sector-specific-resources/48-alles-clinx-hotel-guest-room-turnover-checklist.pdf,How to Use a Hotel Guest Room Turnover Checklist: Free Template,A room-turnover control sheet that connects housekeeping completeness with guest readiness.
49,School Classroom & Washroom Hygiene Checklist,Sector-specific resources,checklist,1,07-sector-specific-resources/49-alles-clinx-school-classroom-and-washroom-hygiene-checklist.pdf,How to Use a School Classroom & Washroom Hygiene Checklist: Free Template,A simple daily checklist for education facilities covering shared learning spaces and student washrooms.
50,Office & Common Area Hygiene Checklist,Sector-specific resources,checklist,1,07-sector-specific-resources/50-alles-clinx-office-and-common-area-hygiene-checklist.pdf,How to Use a Office & Common Area Hygiene Checklist: Free Template,"A practical checklist for offices, reception areas, meeting rooms, pantry points and shared circulation spaces."
