sku,name,chemistry,ph,shelf_life,pack_size,ppe,avoid,categories,specific_gravity,foam_profile,water_hardness
ACX-1238-VAR,Floor Cleaner Concentrate - Citrus,Surfactant blend — general floor cleaner,Neutral,"24 months from manufacture date, unopened",5 Litres,,,"Alle's ClinX Products, Industrial > Break Rooms, Education > Classroom, Education, Hospitality, Industrial, Hospitality > Lobby & Common Areas, Mini",,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-WOODPOL-VAR,Furniture & Wood Polish - Silicone-Free,"Carnauba & beeswax blend, silicone-free carrier",Neutral,"24 months from date of manufacture, unopened",5 Litres (refill for trigger spray bottles),None required under normal use,,"Alle's ClinX Products, Hospitality > Banquet Halls, Industrial > Break Rooms, Labs > Glass & Elegance Care, Hospitality, Industrial, Labs, Hospitality > Lobby & Common Areas",,,
ACX-1225-VAR,Glass Cleaner Concentrate - Streak-Free,Solvent + surfactant blend — fast-evaporating glass formulation,6.5–7.5 (neutral),"24 months from date of manufacture, unopened",5 Litres concentrate,,Anti-reflective optical coatings — test first,"Alle's ClinX Products, Hospitality > Banquet Halls, Industrial > Break Rooms, Education > Classroom, Education, Labs > Glass & Elegance Care, Healthcare, Hospitality, Industrial, Labs, Hospitality > Lobby & Common Areas, Healthcare > Waiting Areas",0.98–1.01 at 25°C,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-SANGEL70-VAR,Hand Sanitizer Gel - 70% Alcohol,Isopropyl/Ethyl Alcohol 70% v/v,5.5–7.0,"24 months from date of manufacture, unopened",5 Litres (refill for pump/dispenser bottles),None required for normal use,,"Alle's ClinX Products, Education > Classroom, Education, Healthcare, Hospitality, Labs > Kitchen & Personal Hygiene, Labs, Hospitality > Lobby & Common Areas, Healthcare > Operating Theatres, Healthcare > Patient Rooms",,,
ACX-1223-VAR,Handwash Liquid - Lavender,Mild surfactant blend — neutral pH liquid hand soap,6.5–7.5 (neutral — skin-compatible),"24 months from date of manufacture, unopened",5 Litres,None required,,"Alle's ClinX Products, Industrial > Break Rooms, Education > Classroom, Education, Healthcare, Industrial, Labs > Kitchen & Personal Hygiene, Labs, Healthcare > Patient Rooms, Healthcare > Waiting Areas",1.00–1.02 at 25°C,,
ACX-1242-VAR,Handwash - Sandalwood,Mild surfactant blend — liquid hand soap,6.5–7.5 (neutral),"24 months from manufacture date, unopened",5 Litres,,,"Alle's ClinX Products, Industrial > Break Rooms, Education > Classroom, Education, Hospitality, Industrial, Hospitality > Lobby & Common Areas, Mini",,,
ACX-ENZPRESOAK-VAR,Instrument Pre-Soak Concentrate - Multi-Enzyme,Protease + lipase + amylase enzyme blend,6.5–7.5 (neutral),"18 months from date of manufacture, unopened",5 Litres / Bulk on request,Gloves recommended when handling soiled instruments,,"Alle's ClinX Products, Education, Healthcare, Healthcare > Laboratories, Labs, Education > Labs & Science Rooms, Healthcare > Operating Theatres, Labs > Utility & Laundry Care",,,Use softened or RO water where local supply exceeds 300 ppm CaCO3 - hardness ions can inhibit enzyme activity
ACX-1227-VAR,Laundry Detergent Concentrate - Enzyme,"Enzyme + surfactant blend (protease, lipase, amylase active)",9.0–11.0 (alkaline),"18 months from date of manufacture, unopened",5 Litres concentrate,None at working dose,"Wool, silk, cashmere — use Woollen Wash","Alle's ClinX Products, Education, Hospitality > Guest Rooms, Healthcare, Hospitality, Education > Hostel & Dorms, Labs, Healthcare > Patient Rooms, Labs > Utility & Laundry Care",1.03–1.06 at 25°C,,Effective up to approx. 300 ppm CaCO3; increase dose in hard water (above 300 ppm) to maintain wash performance
ACX-1224-VAR,Multisurface Cleaner - Lime,Anionic + non-ionic surfactant blend — general purpose,6.5–7.5 (neutral),"24 months from date of manufacture, unopened",5 Litres concentrate,None at working dilution,Polished natural stone — test at undiluted concentration before full use,"Alle's ClinX Products, Industrial > Break Rooms, Education > Classroom, Education, Labs > Floor & Lavatory Care, Hospitality > Guest Rooms, Hospitality, Industrial, Labs",1.00–1.02 at 25°C,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-1229-VAR,Oxygen Bleach Concentrate - Colour-Safe,Sodium percarbonate — active oxygen release bleaching,10.0–11.0 (alkaline activation),"18 months from date of manufacture, in sealed container",5 Litres (by volume) / 5 kg (by weight),Gloves recommended for powder handling,"Silk, wool, cashmere, leather","Alle's ClinX Products, Education, Hospitality > Guest Rooms, Healthcare, Hospitality, Education > Hostel & Dorms, Labs, Healthcare > Patient Rooms, Labs > Utility & Laundry Care",Powder — not applicable,,
ACX-1232-VAR,Passivation Metal Descaler - Mild Acid,Mild inorganic acid + surfactant — mineral deposit dissolution,Mild acidic (3.5–5.5),"24 months from date of manufacture, unopened",5 Litres concentrate,Gloves recommended,"Copper, brass, reactive metals — test before use","Alle's ClinX Products, Education > Cafeteria & Kitchen, Education, Industrial > Factory Floor, Labs > Glass & Elegance Care, Hospitality, Industrial, Hospitality > Kitchen & Food Service, Labs",1.02–1.05 at 25°C,,
ACX-1219-VAR,Phenolic Disinfectant Concentrate - Pine,Pine Oil 5% w/w,8.0–10.0 (alkaline),"24 months from date of manufacture, unopened",5 Litres concentrate,Gloves recommended for concentrate handling,,"Alle's ClinX Products, Education, Industrial > Factory Floor, Labs > Floor & Lavatory Care, Healthcare, Education > Hostel & Dorms, Industrial, Labs, Healthcare > Patient Rooms",1.01–1.03 at 25°C,,
ACX-1236-VAR,Phenolic Floor Disinfectant - Classic,Phenolic compound blend,Neutral,"24 months from manufacture date, unopened",5 Litres,,,"Alle's ClinX Products, Industrial > Break Rooms, Education > Classroom, Education, Hospitality, Industrial, Hospitality > Lobby & Common Areas, Mini",,,
ACX-1220-VAR,Quaternary Disinfectant Concentrate - BKC,Benzalkonium Chloride (BKC) 0.5% w/w,8.0–10.0 (near-neutral to mildly alkaline),"24 months from date of manufacture, unopened",5 Litres concentrate,Gloves recommended for concentrate handling,,"Alle's ClinX Products, Labs > Floor & Lavatory Care, Healthcare, Industrial > Heavy-Duty Restrooms, Hospitality, Industrial, Healthcare > Laboratories, Labs, Hospitality > Lobby & Common Areas, Healthcare > Operating Theatres, Healthcare > Patient Rooms",1.01–1.03 at 25°C,,Efficacy reduces above approx. 300 ppm CaCO3 hardness - use softened or RO water for disinfection-critical dilutions in hard-water areas
ACX-NAOCL10-VAR,Sodium Hypochlorite 10% - Bleach Concentrate,Sodium Hypochlorite 10% w/v available chlorine,"11.0–13.0 (alkaline, stabilised)","12 months from date of manufacture, unopened, stored below 25°C",5 Litres / Bulk on request,Gloves and eye protection required — concentrate is corrosive,,"Alle's ClinX Products, Industrial > Factory Floor, Healthcare, Industrial, Healthcare > Laboratories, Labs, Healthcare > Operating Theatres, Labs > Utility & Laundry Care",,,
ACX-SSPOLISH-VAR,Stainless Steel & Chrome Polish - Streak-Free,Solvent-surfactant blend + light conditioning agent,Neutral,"24 months from date of manufacture, unopened",5 Litres (refill for trigger spray bottles),None required under normal use,,"Alle's ClinX Products, Education > Cafeteria & Kitchen, Education, Industrial > Factory Floor, Labs > Glass & Elegance Care, Hospitality, Industrial, Hospitality > Kitchen & Food Service, Labs",,,
ACX-SSHDCLEAN-VAR,Stainless Steel Heavy-Duty Cleaner & Degreaser,Alkaline builder + non-abrasive surfactant blend,10.5–12.0 (alkaline),"24 months from date of manufacture, unopened",5 Litres / Bulk on request,Gloves recommended; eye protection for concentrate/neat use,,"Alle's ClinX Products, Education > Cafeteria & Kitchen, Education, Industrial > Factory Floor, Labs > Glass & Elegance Care, Hospitality, Industrial, Hospitality > Kitchen & Food Service, Labs",,,Effective up to approx. 300 ppm CaCO3 (moderately hard water)
ACX-1252-VAR,Surface Disinfectant Refill - Lime,Quaternary ammonium compound + surfactant,Neutral,"24 months from manufacture date, unopened",5 Litres,,,"Alle's ClinX Products, Education > Classroom, Education, Healthcare, Hospitality, Hospitality > Lobby & Common Areas, Mini, Healthcare > Waiting Areas",,,Efficacy reduces above approx. 300 ppm CaCO3 hardness - quaternary actives are hard-water sensitive
ACX-1239-VAR,Toilet Bowl Cleaner - Acid Gel,Mild acid + surfactant,2.5–3.0,"24 months from manufacture date, unopened",5 Litres,,"Marble, natural stone, acid-sensitive surfaces","Alle's ClinX Products, Education, Healthcare, Industrial > Heavy-Duty Restrooms, Education > Hostel & Dorms, Industrial, Mini, Healthcare > Waiting Areas",,,
ACX-1230-VAR,Wool & Delicate Fabric Wash - Neutral pH,Enzyme-free mild surfactant blend — protein fibre safe,6.5–7.0 (near-neutral),"24 months from date of manufacture, unopened",5 Litres concentrate,,Regular cotton or synthetic institutional loads,"Alle's ClinX Products, Hospitality > Guest Rooms, Healthcare, Hospitality, Labs, Healthcare > Patient Rooms, Labs > Utility & Laundry Care",1.00–1.01 at 25°C,,
